,rank,title,studio,lifetime_gross,theaters,opening,theaters,release_date,genre
2385,20,Starsky and Hutch,WB,"$88,237,754","3,185","$28,103,367","3,185",3/5/04,actionbuddycomedy
2386,21,Pineapple Express,Sony,"$87,341,380","3,072","$23,245,025","3,072",8/6/08,actionbuddycomedy
2387,22,Let's Be Cops,Fox,"$82,390,774","3,140","$17,813,722","3,094",8/13/14,actionbuddycomedy
2388,23,Another 48 HRS.,Par.,"$80,818,974","2,721","$19,475,559","2,721",6/8/90,actionbuddycomedy
2389,24,48 HRS.,Par.,"$78,868,508","1,050","$4,369,868",850,12/10/82,actionbuddycomedy
2390,25,Tower Heist,Uni.,"$78,046,570","3,870","$24,025,190","3,367",11/4/11,actionbuddycomedy
2391,26,2 Guns,Uni.,"$75,612,460","3,028","$27,059,130","3,025",8/2/13,actionbuddycomedy
2392,27,Bad Boys,Sony,"$65,807,024","2,132","$15,523,358","2,132",4/7/95,actionbuddycomedy
2393,28,Stakeout,BV,"$65,673,233","1,364","$5,170,403",951,8/7/87,actionbuddycomedy
2394,29,Lethal Weapon,WB,"$65,207,127","1,420","$6,829,949","1,256",3/6/87,actionbuddycomedy
2395,30,Tango & Cash,WB,"$63,408,614","1,575","$6,628,918","1,409",12/22/89,actionbuddycomedy
2396,31,Shanghai Knights,BV,"$60,476,872","2,755","$19,603,630","2,753",2/7/03,actionbuddycomedy
2397,32,Spies Like Us,WB,"$60,088,980","1,700","$8,614,039","1,556",12/6/85,actionbuddycomedy
2398,33,The Last Boy Scout,WB,"$59,509,925","1,823","$7,923,669","1,823",12/13/91,actionbuddycomedy
2399,34,Dragnet,Uni.,"$57,387,516","1,343","$10,542,669","1,337",6/26/87,actionbuddycomedy
2400,35,Shanghai Noon,BV,"$56,937,502","2,751","$15,607,034","2,711",5/26/00,actionbuddycomedy
2401,36,The Tuxedo,DW,"$50,547,998","3,022","$15,051,028","3,022",9/27/02,actionbuddycomedy
2402,37,The Rundown,Uni.,"$47,726,342","3,154","$18,553,765","3,152",9/26/03,actionbuddycomedy
2403,38,Cop Out,WB,"$44,875,481","3,150","$18,211,126","3,150",2/26/10,actionbuddycomedy
2404,39,Nothing to Lose,BV,"$44,480,039","1,888","$11,617,767","1,862",7/18/97,actionbuddycomedy
2405,40,Money Talks,NL,"$40,922,619","2,033","$10,654,369","2,005",8/22/97,actionbuddycomedy
2406,41,Running Scared,MGM,"$38,500,726","1,376","$5,227,757","1,376",6/27/86,actionbuddycomedy
2407,42,Midnight Run,Uni.,"$38,413,606","1,161","$5,506,290","1,158",7/22/88,actionbuddycomedy
2408,43,City Heat,WB,"$38,348,988","1,655","$6,301,694","1,393",12/7/84,actionbuddycomedy
2409,44,Showtime,WB,"$38,082,712","2,917","$15,011,430","2,917",3/15/02,actionbuddycomedy
2410,45,30 Minutes or Less,Sony,"$37,053,924","2,888","$13,330,118","2,888",8/12/11,actionbuddycomedy
2411,46,Taxi,Fox,"$36,611,066","3,001","$12,029,832","3,001",10/6/04,actionbuddycomedy
2412,47,National Security,Sony,"$36,381,186","2,729","$14,369,694","2,729",1/17/03,actionbuddycomedy
2413,48,The Nice Guys,WB,"$35,691,214","2,865","$11,203,270","2,865",5/20/16,actionbuddycomedy
2414,49,Money Train,Sony,"$35,431,113","2,522","$10,608,297","2,522",11/22/95,actionbuddycomedy
2415,50,Red Heat,TriS,"$34,994,648","1,892","$8,133,822","1,885",6/17/88,actionbuddycomedy
2416,51,R.I.P.D.,Uni.,"$33,618,855","2,852","$12,691,415","2,852",7/19/13,actionbuddycomedy
2417,52,I Spy,Sony,"$33,561,137","3,182","$12,752,803","3,182",11/1/02,actionbuddycomedy
2418,53,Hollywood Homicide,SonR,"$30,940,691","2,840","$11,112,632","2,840",6/13/03,actionbuddycomedy
2419,54,Bad Company,BV,"$30,160,161","2,944","$11,007,367","2,944",6/7/02,actionbuddycomedy
2420,55,Double Take,BV,"$29,831,583","1,631","$11,736,236","1,631",1/12/01,actionbuddycomedy
2421,56,Loaded Weapon 1,NL,"$27,979,399","2,015","$9,202,722","1,989",2/5/93,actionbuddycomedy
2422,57,All About the Benjamins,NL,"$25,916,319","1,519","$10,007,291","1,505",3/8/02,actionbuddycomedy
2423,58,The Hard Way,Uni.,"$25,895,485","1,629","$6,301,470","1,622",3/8/91,actionbuddycomedy
2424,59,Hot Fuzz,Rog.,"$23,637,265","1,272","$5,848,464",825,4/20/07,actionbuddycomedy
2425,60,The Rookie (1990),WB,"$21,633,874","1,862","$5,510,056","1,862",12/7/90,actionbuddycomedy
2426,61,Bulletproof,Uni.,"$21,576,954","2,242","$6,014,400","2,240",9/6/96,actionbuddycomedy
2427,62,The Glimmer Man,WB,"$20,351,264","2,236","$7,605,504","2,236",10/4/96,actionbuddycomedy
2428,63,The Cowboy Way,Uni.,"$20,280,016","1,833","$5,048,640","1,753",6/3/94,actionbuddycomedy
2429,64,Another Stakeout,BV,"$20,208,496","1,477","$5,418,316","1,185",7/23/93,actionbuddycomedy
2430,65,Fled,MGM,"$17,193,231","2,104","$5,405,855","2,104",7/19/96,actionbuddycomedy
2431,66,Armed and Dangerous,Col.,"$15,945,534","1,557","$4,348,276","1,552",8/15/86,actionbuddycomedy
2432,67,"Bon Cop, Bad Cop",All.,"$12,665,721",260,"$1,433,259",133,8/4/06,actionbuddycomedy
2433,68,Double Team,Sony,"$11,438,337","2,203","$5,034,914","2,203",4/4/97,actionbuddycomedy
2434,69,Chill Factor,WB,"$11,263,966","2,558","$4,529,231","2,558",9/3/99,actionbuddycomedy
2435,70,Knock Off,Sony,"$10,319,915","1,800","$5,516,231","1,800",9/4/98,actionbuddycomedy
2436,71,Renegades,Uni.,"$9,015,164","1,627","$3,075,030","1,627",6/2/89,actionbuddycomedy
2437,72,The Man,NL,"$8,330,720","2,040","$4,065,014","2,040",9/9/05,actionbuddycomedy
2438,73,Harley Davidson and the Marlboro Man,MGM,"$7,434,726","1,196","$2,200,549","1,196",8/23/91,actionbuddycomedy
2439,74,Loose Cannons,TriS,"$5,585,154","1,214","$2,239,830","1,214",2/9/90,actionbuddycomedy
2440,75,Dead Heat,NW,"$3,588,626","1,012","$1,667,036","1,012",5/6/88,actionbuddycomedy
2441,76,Stand Up Guys,LGF,"$3,310,031",670,"$1,486,390",659,2/1/13,actionbuddycomedy
2442,77,Downtown,Fox,"$2,346,150",349,"$821,626",349,1/12/90,actionbuddycomedy
2443,78,Company Business,MGM,"$1,501,785",232,"$533,610",232,9/6/91,actionbuddycomedy
2444,79,Real Men,UA,"$873,903",150,"$241,258",150,9/25/87,actionbuddycomedy
2445,80,Number One with a Bullet,Can.,"$410,952",223,"$210,761",223,2/27/87,actionbuddycomedy
2446,81,Fifty/Fifty,Can.,"$229,041",337,n/a,-,3/26/93,actionbuddycomedy
2447,82,On the Other Side of the Tracks,Wein.,"$9,572",50,"$5,923",50,4/4/14,actionbuddycomedy
2448,NaN,Blades of Glory,P/DW,"$118,594,548","3,467","$33,014,202","3,372",3/30/07,olympics
2449,2,Cool Runnings,BV,"$68,856,263","1,832","$7,046,648","1,387",10/1/93,olympics
2450,3,Miracle,BV,"$64,378,093","2,755","$19,377,577","2,605",2/6/04,olympics
2451,4,Chariots of Fire,Col.,"$58,972,904",810,"$68,907",3,9/25/81,olympics
2452,5,The Cutting Edge,MGM,"$25,105,517","1,121","$4,478,919",775,3/27/92,olympics
2453,6,Race (2016),Focus,"$19,115,191","2,387","$7,353,922","2,369",2/19/16,olympics
2454,7,Eddie the Eagle,Fox,"$15,789,389","2,044","$6,084,682","2,042",2/26/16,olympics
2455,8,Running,Uni.,"$6,012,556",-,n/a,-,11/2/79,olympics
2456,9,Personal Best,WB,"$5,672,311",236,"$549,878",142,2/5/82,olympics
2457,10,American Anthem,Col.,"$4,845,724",900,"$1,867,969",900,6/27/86,olympics
2458,11,Running Brave,BV,"$3,000,000",440,"$441,145",234,11/4/83,olympics
2459,12,Bhaag Milkha Bhaag,Relbig.,"$1,636,731",140,"$647,112",140,7/12/13,olympics
2460,13,Goldengirl,AVCO,"$1,247,376",-,n/a,-,6/15/79,olympics
2461,14,Without Limits,WB,"$777,423",110,"$56,180",5,9/11/98,olympics
2462,15,Prefontaine,BV,"$589,304",201,"$311,253",201,1/24/97,olympics
2463,16,Backwards,Da.,"$61,465",9,"$23,190",5,9/21/12,olympics
2464,NaN,My Big Fat Greek Wedding,IFC,"$241,438,208","2,016","$597,362",108,4/19/02,wedding
2465,2,Wedding Crashers,NL,"$209,255,921","3,131","$33,900,720","2,925",7/15/05,wedding
2466,3,Bridesmaids,Uni.,"$169,106,725","2,958","$26,247,410","2,918",5/13/11,wedding
2467,4,Runaway Bride,Par.,"$152,257,509","3,240","$35,055,556","3,158",7/30/99,wedding
2468,5,Mamma Mia!,Uni.,"$144,130,063","3,194","$27,751,240","2,976",7/18/08,wedding
2469,6,Sweet Home Alabama,BV,"$127,223,418","3,313","$35,648,740","3,293",9/27/02,wedding
2470,7,My Best Friend's Wedding,Sony,"$127,120,029","2,376","$21,678,377","2,134",6/20/97,wedding
2471,8,American Wedding,Uni.,"$104,565,114","3,175","$33,369,440","3,172",8/1/03,wedding
2472,9,Father of the Bride,BV,"$89,325,780","1,712","$7,031,146","1,561",12/20/91,wedding
2473,10,The Wedding Singer,NL,"$80,245,725","2,837","$18,865,080","2,821",2/13/98,wedding
2474,11,27 Dresses,Fox,"$76,808,654","3,074","$23,007,725","3,057",1/18/08,wedding
2475,12,Three Men and a Little Lady,BV,"$71,609,321","1,614","$13,774,642","1,281",11/21/90,wedding
2476,13,The Wedding Ringer,SGem,"$64,460,211","3,003","$20,649,306","3,003",1/16/15,wedding
2477,14,Last Vegas,CBS,"$63,914,167","3,237","$16,334,566","3,065",11/1/13,wedding
2478,15,In & Out,Par.,"$63,856,929","2,452","$15,019,821","1,992",9/19/97,wedding
2479,16,The Wedding Planner,Sony,"$60,400,856","2,785","$13,510,293","2,785",1/26/01,wedding
2480,17,Bride Wars,Fox,"$58,715,510","3,228","$21,058,173","3,226",1/9/09,wedding
2481,18,Four Weddings and a Funeral,Gram.,"$52,700,832","1,069","$138,486",5,3/11/94,wedding
2482,19,Made of Honor,Sony,"$46,012,734","2,816","$14,756,850","2,729",5/2/08,wedding
2483,20,License to Wed,WB,"$43,799,818","2,715","$10,422,258","2,604",7/3/07,wedding
2484,21,Jumping the Broom,TriS,"$37,295,394","2,035","$15,215,487","2,035",5/6/11,wedding
2485,22,That's My Boy,Sony,"$36,931,089","3,030","$13,453,714","3,030",6/15/12,wedding
2486,23,The Best Man,Uni.,"$34,102,780","1,348","$9,031,660","1,346",10/22/99,wedding
2487,24,The Wedding Date,Uni.,"$31,726,995","1,704","$11,129,580","1,694",2/4/05,wedding
2488,25,The Five-Year Engagement,Uni.,"$28,835,528","2,941","$10,610,060","2,936",4/27/12,wedding
2489,26,The Other Sister,BV,"$27,807,627","1,863","$6,624,445","1,343",2/26/99,wedding
2490,27,You Again,BV,"$25,702,053","2,548","$8,407,513","2,548",9/24/10,wedding
2491,28,The Wood,Par.,"$25,059,640","1,191","$8,515,223","1,191",7/16/99,wedding
2492,29,The Big Wedding,LGF,"$21,819,348","2,633","$7,591,663","2,633",4/26/13,wedding
2493,30,The Bachelor,NL,"$21,760,240","2,524","$7,480,288","2,522",11/5/99,wedding
2494,31,The In-Laws,WB,"$20,453,431","2,652","$7,319,848","2,652",5/23/03,wedding
2495,32,Our Family Wedding,FoxS,"$20,255,281","1,609","$7,629,862","1,605",3/12/10,wedding
2496,33,Betsy's Wedding,BV,"$19,740,070","1,058","$4,662,488","1,048",6/22/90,wedding
2497,34,Muriel's Wedding,Mira.,"$15,119,639",840,"$244,969",14,3/10/95,wedding
2498,35,Monsoon Wedding,USA,"$13,885,966",254,"$68,546",2,2/22/02,wedding
2499,36,Rachel Getting Married,SPC,"$12,796,841",391,"$293,369",9,10/3/08,wedding
2500,37,Very Bad Things,Poly,"$9,898,412","1,260","$3,245,853","1,260",11/27/98,wedding
2501,38,The Wedding Banquet,Gold.,"$6,933,459",113,"$134,870",7,8/6/93,wedding
2502,39,Polish Wedding,FoxS,"$692,588",59,"$92,055",11,7/17/98,wedding
2503,40,Bachelorette,RTWC,"$447,954",60,"$181,494",47,9/7/12,wedding
2504,41,I Think I Do,Strand,"$345,478",10,"$33,633",5,4/10/98,wedding
2505,42,Dot the I,Free,"$307,486",16,"$9,581",1,3/11/05,wedding
2506,43,The Groomsmen,BMD,"$128,911",26,"$26,046",3,7/14/06,wedding
2507,44,Samoan Wedding,Magn.,"$72,244",3,"$15,704",2,11/10/06,wedding
2508,45,Wedding Bell Blues,Leg.,"$44,052",11,n/a,-,6/13/97,wedding
2509,46,Kiss the Bride,Reg.,"$32,033",5,"$8,811",5,4/18/08,wedding
2510,47,Ceremony,Magn.,"$22,270",4,"$6,920",2,4/8/11,wedding
2511,48,My First Wedding,Indic.,"$14,982",5,"$10,120",5,8/18/06,wedding
2512,49,A Wedding Invitation,CJ,"$14,350",3,"$3,183",2,5/24/13,wedding
2513,50,Rana's Wedding,Arab,"$10,604",1,"$3,099",1,8/22/03,wedding
2514,51,One Small Hitch,Free,"$7,965",10,"$5,328",10,2/6/15,wedding
2515,52,Save the Date,IFC,"$5,719",2,"$3,755",2,12/14/12,wedding
2516,53,Jenny's Wedding,IFC,"$4,704",2,"$2,254",2,7/31/15,wedding
2517,54,Cheerful Weather for the Wedding,IFC,"$2,651",2,$727,1,12/7/12,wedding
2518,55,The Right Kind of Wrong,Magn.,"$2,098",1,$593,1,3/14/14,wedding
2519,56,The Decoy Bride,IFC,$759,1,$542,1,3/9/12,wedding
2520,NaN,About Last Night...,TriS,"$38,702,310",887,"$3,152,469",642,7/4/86,twentysomething
2521,2,St. Elmo's Fire,Col.,"$37,803,872","1,207","$6,128,157","1,204",6/28/85,twentysomething
2522,3,Elizabethtown,Par.,"$26,850,426","2,517","$10,618,711","2,517",10/14/05,twentysomething
2523,4,Garden State,FoxS,"$26,782,316",813,"$201,115",9,7/28/04,twentysomething
2524,5,A Lot Like Love,BV,"$21,845,719","2,502","$7,576,593","2,502",4/22/05,twentysomething
2525,6,Reality Bites,Uni.,"$20,982,557","1,175","$5,113,050","1,149",2/18/94,twentysomething
2526,7,Singles,WB,"$18,471,850","1,330","$4,184,875","1,073",9/18/92,twentysomething
2527,8,Chasing Amy,Mira.,"$12,021,272",553,"$52,446",3,4/4/97,twentysomething
2528,9,The Last Kiss (2006),P/DW,"$11,614,790","1,359","$4,627,989","1,357",9/15/06,twentysomething
2529,10,In the Land of Women,WB,"$11,052,958","2,155","$4,712,341","2,155",4/20/07,twentysomething
2530,11,Beautiful Girls,Mira.,"$10,597,759",803,"$2,761,790",752,2/9/96,twentysomething
2531,12,Barcelona,FL,"$7,266,973",274,"$102,820",4,7/29/94,twentysomething
2532,13,200 Cigarettes,Par.,"$6,852,450",978,"$3,244,277",976,2/26/99,twentysomething
2533,14,Before Sunrise,Sony,"$5,535,405",474,"$1,423,537",363,1/27/95,twentysomething
2534,15,Clerks,Mira.,"$3,151,130",96,"$31,665",2,10/19/94,twentysomething
2535,16,Obvious Child,A24,"$3,123,963",202,"$77,315",3,6/6/14,twentysomething
2536,17,The Last Days of Disco,Gram.,"$3,020,601",168,"$277,601",22,5/29/98,twentysomething
2537,18,Metropolitan,NL,"$2,938,208",5,"$46,663",1,8/3/90,twentysomething
2538,19,Slacker,OrionC,"$1,228,108",16,"$24,307",2,7/5/91,twentysomething
2539,20,"Bodies, Rest and Motion",NL,"$764,724",6,"$75,957",6,4/9/93,twentysomething
2540,21,Kicking and Screaming,Trim.,"$718,490",26,"$19,497",1,10/6/95,twentysomething
2541,22,Love and Human Remains,SPC,"$542,985",17,"$28,280",2,6/2/95,twentysomething
2542,23,Smiling Fish & Goat on Fire,Strat.,"$278,492",15,"$12,994",1,8/25/00,twentysomething
2543,24,Twenty-One,Trit,"$256,521",24,"$46,183",15,10/4/91,twentysomething
2544,25,Sleep with Me,MGM,"$200,151",67,"$33,004",6,9/23/94,twentysomething
2545,26,The Puffy Chair,IDP,"$194,523",7,"$26,029",7,6/2/06,twentysomething
2546,27,Mutual Appreciation,GCR,"$103,509",5,"$13,142",1,9/1/06,twentysomething
2547,28,Funny Ha Ha,GCR,"$77,070",3,"$10,555",2,4/29/05,twentysomething
2548,29,Floundering,Strand,"$20,031",2,"$2,604",1,11/4/94,twentysomething
2549,30,Glory Daze,7Art,"$15,134",-,n/a,-,9/27/96,twentysomething
2550,NaN,Space Jam,WB,"$90,418,342","2,650","$27,528,529","2,650",11/15/96,basketball
2551,2,White Men Can't Jump,Fox,"$76,253,806","1,929","$14,711,124","1,923",3/27/92,basketball
2552,3,Coach Carter,Par.,"$67,264,877","2,574","$24,182,961","2,524",1/14/05,basketball
2553,4,Like Mike,Fox,"$51,432,760","2,436","$12,179,420","2,410",7/3/02,basketball
2554,5,Glory Road,BV,"$42,647,449","2,397","$13,594,734","2,222",1/13/06,basketball
2555,6,Semi-Pro,NL,"$33,479,698","3,121","$15,075,114","3,121",2/29/08,basketball
2556,7,Eddie,BV,"$31,387,164","2,000","$8,041,972","1,989",5/31/96,basketball
2557,8,Hoosiers,Orion,"$28,607,524","1,048","$220,068",30,11/14/86,basketball
2558,9,Love & Basketball,NL,"$27,459,615","1,245","$8,139,180","1,237",4/21/00,basketball
2559,10,Air Bud,BV,"$23,144,499","1,795","$4,878,632","1,795",8/1/97,basketball
2560,11,Blue Chips,Par.,"$23,070,663","1,980","$10,123,605","1,980",2/18/94,basketball
2561,12,He Got Game,BV,"$21,567,853","1,414","$7,610,663","1,319",5/1/98,basketball
2562,13,Just Wright,FoxS,"$21,540,363","1,831","$8,284,989","1,831",5/14/10,basketball
2563,14,The Air Up There,Mira.,"$21,011,318","1,721","$5,240,859","1,507",1/7/94,basketball
2564,15,Rebound,Fox,"$16,809,014","2,464","$5,033,848","2,464",7/1/05,basketball
2565,16,Above the Rim,NL,"$16,192,320",891,"$3,738,800",836,3/25/94,basketball
2566,17,O,Lions,"$16,025,437","1,464","$5,655,658","1,434",8/31/01,basketball
2567,18,The 6th Man,BV,"$14,772,788","1,231","$4,128,178","1,227",3/28/97,basketball
2568,19,Juwanna Mann,WB,"$13,670,733","1,325","$5,474,270","1,325",6/21/02,basketball
2569,20,Sunset Park,Sony,"$10,163,782","1,257","$4,705,440","1,257",4/26/96,basketball
2570,21,Celtic Pride,BV,"$9,255,027","1,836","$3,809,248","1,832",4/19/96,basketball
2571,22,Hoop Dreams,FL,"$7,830,611",262,"$18,396",3,10/14/94,basketball
2572,23,BASEketball,Uni.,"$7,027,290","1,910","$3,086,105","1,905",7/31/98,basketball
2573,24,Crossover,Sony,"$7,009,668","1,023","$3,767,567","1,023",9/1/06,basketball
2574,25,The Basketball Diaries,NL,"$2,381,087",318,"$765,335",317,4/21/95,basketball
2575,26,The Mighty Macs,QM,"$1,891,936",975,"$963,221",975,10/21/11,basketball
2576,27,More Than a Game,LGF,"$950,675",111,"$182,943",14,10/2/09,basketball
2577,28,Thunderstruck,WB,"$587,211",250,n/a,-,8/24/12,basketball
2578,29,Church Ball,Hale,"$464,991",40,"$144,376",40,3/17/06,basketball
2579,30,The Heart of the Game,Mira.,"$445,374",21,"$11,251",3,6/9/06,basketball
2580,31,Linsanity,KE,"$302,645",16,"$99,462",9,10/4/13,basketball
2581,32,The Other Dream Team,TFA,"$135,228",14,"$19,821",2,9/28/12,basketball
2582,33,Harvard Man,Cow.,"$56,653",4,"$8,425",1,5/17/02,basketball
2583,34,Gunnin' for That #1 Spot,Osci.,"$50,804",14,"$20,355",14,6/27/08,basketball
2584,35,Nowitzki,Magn.,"$41,340",4,"$20,049",4,7/10/15,basketball
2585,36,The Year of the Yao,FL,"$35,591",12,"$27,823",12,4/15/05,basketball
2586,37,Soul in the Hole,N/A,"$30,697",6,n/a,-,8/8/97,basketball
2587,38,Streetballers,MSK,"$28,642",2,"$11,581",2,8/21/09,basketball
2588,39,Through the Fire,Libre,"$25,752",8,"$14,769",8,2/10/06,basketball
2589,40,The Iran Job,FM,"$23,115",2,n/a,-,6/7/13,basketball
2590,41,The First Basket,L/Z,"$20,440",4,"$1,819",1,10/29/08,basketball
2591,42,Something to Cheer About,Truly,"$9,777",9,"$6,410",9,4/27/07,basketball
2592,43,Quantum Hoops,GFor.,"$7,075",1,"$4,216",1,11/2/07,basketball
2593,44,Elevate,Vari.,"$5,580",2,"$3,547",1,10/21/11,basketball
2594,-,Hurricane Season (formerly The Patriots),Wein.,n/a,-,n/a,-,2009,basketball
2595,-,The Winning Season,RAtt.,n/a,3,n/a,3,9/3/10,basketball
2596,NaN,The Departed,WB,"$132,384,315","3,017","$26,887,467","3,017",10/6/06,irish
2597,2,Road to Perdition,DW,"$104,454,762","2,332","$22,079,481","1,797",7/12/02,irish
2598,3,Patriot Games,Par.,"$83,351,587","2,396","$18,511,191","2,365",6/5/92,irish
2599,4,Gangs of New York,Mira.,"$77,812,000","2,340","$9,496,870","1,504",12/20/02,irish
2600,5,The Crying Game,Mira.,"$62,548,947","1,097","$101,107",6,11/27/92,irish
2601,6,Far and Away,Uni.,"$58,883,840","1,885","$10,194,520","1,583",5/22/92,irish
2602,7,The Devil's Own,Sony,"$42,868,348","2,504","$14,274,503","2,504",3/28/97,irish
2603,8,Brooklyn,FoxS,"$38,322,743",962,"$187,281",5,11/4/15,irish
2604,9,Blown Away,MGM,"$30,156,002","1,862","$10,424,873","1,862",7/1/94,irish
2605,10,Leap Year,Uni.,"$25,918,920","2,512","$9,202,815","2,511",1/8/10,irish
2606,11,In the Name of the Father,Uni.,"$25,096,862",688,"$109,805",4,12/31/93,irish
2607,12,Waking Ned Devine,FoxS,"$24,792,251",540,"$148,971",9,11/20/98,irish
2608,13,Circle of Friends,Sav.,"$23,389,975",902,"$125,587",4,3/17/95,irish
2609,14,In America,FoxS,"$15,539,656",403,"$205,229",11,11/26/03,irish
2610,15,The Commitments,Fox,"$14,919,570",588,"$271,333",8,8/16/91,irish
2611,16,My Left Foot,Mira.,"$14,743,391",510,"$41,165",2,11/10/89,irish
2612,17,Angela's Ashes,Par.,"$13,042,112",614,"$54,628",6,12/25/99,irish
2613,18,Michael Collins,WB,"$11,092,559",878,"$182,221",6,10/11/96,irish
2614,19,The Brothers McMullen,FoxS,"$10,426,506",367,"$167,815",7,8/11/95,irish
2615,20,Leprechaun,Trim.,"$8,556,940",620,"$2,493,020",620,1/8/93,irish
2616,21,Widows' Peak,FL,"$6,243,722",193,"$133,084",40,5/13/94,irish
2617,22,The Secret of Roan Inish,First,"$6,159,269",104,"$82,601",7,2/3/95,irish
2618,23,The Boxer,Uni.,"$5,980,578",523,"$86,097",3,12/31/97,irish
2619,24,The Guard,SPC,"$5,360,274",203,"$76,834",4,7/29/11,irish
2620,25,Miller's Crossing,Fox,"$5,080,409",289,"$28,202",1,9/21/90,irish
2621,26,The Playboys,Gold.,"$4,906,900",68,"$32,525",2,4/24/92,irish
2622,27,The Magdalene Sisters,Mira.,"$4,890,878",295,"$84,553",5,8/1/03,irish
2623,28,Into the West,Mira.,"$4,790,801",550,"$1,410,414",550,9/17/93,irish
2624,29,The Dead,Vest,"$4,370,078",6,"$69,074",6,12/18/87,irish
2625,30,Hear My Song,Mira.,"$4,313,473",214,"$12,965",1,12/27/91,irish
2626,31,Calvary,FoxS,"$3,600,006",322,"$74,149",4,8/1/14,irish
2627,32,The Matchmaker,Gram.,"$3,392,080",705,"$1,378,930",705,10/3/97,irish
2628,33,The Snapper,Mira.,"$3,323,524",1,"$21,802",1,11/24/93,irish
2629,34,Dancing at Lughnasa,SPC,"$2,287,818",93,"$83,759",4,11/13/98,irish
2630,35,Leprechaun 2,Trim.,"$2,260,622",252,"$672,775",252,4/8/94,irish
2631,36,The Butcher Boy,WB,"$1,995,911",90,"$135,606",9,4/3/98,irish
2632,37,State of Grace,Orion,"$1,911,542",335,"$179,927",14,9/14/90,irish
2633,38,Veronica Guerin,BV,"$1,571,504",472,"$611,276",472,10/17/03,irish
2634,39,The Field,Ave,"$1,494,399",40,"$27,948",2,12/22/90,irish
2635,40,Evelyn,MGM,"$1,487,645",137,"$65,344",15,12/13/02,irish
2636,41,The General (1998),SPC,"$1,214,198",41,"$26,771",2,12/18/98,irish
2637,42,Kill the Irishman,Anch.,"$1,188,194",56,"$145,430",5,3/11/11,irish
2638,43,This Is My Father,SPC,"$1,083,975",51,"$54,876",9,5/7/99,irish
2639,44,Hidden Agenda,Hemd,"$1,030,938",114,"$49,827",3,11/21/90,irish
2640,45,A Man of No Importance,SPC,"$920,916",23,"$36,606",5,12/22/94,irish
2641,46,Intermission,IFC,"$896,993",69,"$39,936",10,3/19/04,irish
2642,47,The Miracle,Mira.,"$835,519",41,"$12,076",1,7/3/91,irish
2643,48,Bloody Sunday,ParC,"$773,228",54,"$29,419",2,10/4/02,irish
2644,49,The Van,FoxS,"$712,095",25,"$23,366",3,5/16/97,irish
2645,50,Some Mother's Son,Sony,"$671,437",35,"$88,515",14,12/27/96,irish
2646,51,The Opportunists,First,"$584,054",31,"$46,967",5,8/11/00,irish
2647,52,Traveller,Oct.,"$534,010",6,"$30,855",6,4/18/97,irish
2648,53,Monument Ave.,Lions,"$333,760",24,"$41,556",10,9/25/98,irish
2649,54,One Man's Hero,MGM,"$240,067",52,"$108,567",52,9/24/99,irish
2650,55,About Adam,Mira.,"$159,668",11,"$33,300",5,5/11/01,irish
2651,56,Agnes Browne,USA,"$148,853",21,"$6,322",2,12/3/99,irish
2652,57,The Boys and Girl from County Clare,First,"$142,872",9,"$20,856",7,3/11/05,irish
2653,58,When Brendan Met Trudy,TSG,"$133,376",14,"$42,055",14,3/9/01,irish
2654,59,Frankie Starlight,FL,"$103,365",5,"$12,694",5,11/22/95,irish
2655,60,Borstal Boy,Strand,"$87,400",2,"$11,164",2,3/1/02,irish
2656,61,An Everlasting Piece,DW,"$75,228",8,"$9,128",8,12/22/00,irish
2657,62,Mad About Mambo,USA,"$65,283",51,"$32,432",51,8/4/00,irish
2658,63,Nothing Personal,Trim.,"$40,374",1,"$5,563",1,4/25/97,irish
2659,64,White Irish Drinkers,Scre.,"$31,056",5,"$16,836",5,3/25/11,irish
2660,65,The Boondock Saints,Indic.,"$30,471",5,"$19,930",5,1/21/00,irish
2661,66,Rory O'Shea Was Here,Focus,"$23,844",7,"$6,079",3,2/4/05,irish
2662,67,War of the Buttons,WB,"$12,712",2,"$4,930",2,9/29/95,irish
2663,68,The Last of the High Kings,Mira.,"$7,682",3,"$5,569",3,4/10/98,irish
2664,69,Black Irish,ReelD,"$6,900",5,"$6,900",5,10/26/07,irish
2665,NaN,Our Idiot Brother,Wein.,"$24,816,118","2,555","$7,011,631","2,555",8/26/11,sundance2011
2666,2,Silent House,ORF,"$12,754,783","2,124","$6,661,234","2,124",3/9/12,sundance2011
2667,3,The Guard,SPC,"$5,360,274",203,"$76,834",4,7/29/11,sundance2011
2668,4,Margin Call,RAtt.,"$5,354,039",199,"$561,906",56,10/21/11,sundance2011
2669,5,Buck,IFC,"$4,038,912",152,"$67,548",4,6/17/11,sundance2011
2670,6,Like Crazy,ParV,"$3,395,391",162,"$123,140",4,10/28/11,sundance2011
2671,7,Martha Marcy May Marlene,FoxS,"$2,990,625",183,"$137,651",4,10/21/11,sundance2011
2672,8,Take Shelter,SPC,"$1,730,296",91,"$52,041",3,9/30/11,sundance2011
2673,9,The Art of Getting By,FoxS,"$1,430,241",610,"$679,160",610,6/17/11,sundance2011
2674,10,The Devil's Double,LGF,"$1,361,512",89,"$96,414",5,7/29/11,sundance2011
2675,11,Another Earth,FoxS,"$1,321,194",94,"$77,740",4,7/22/11,sundance2011
