,date	close
238,2015-09-02	46.05
239,2015-09-01	44.19
240,2015-Aug-31	48.16
241,2015-Aug-28	45.33
242,2015-Aug-27	42.78
243,2015-Aug-26	38.88
244,2015-Aug-25	39.64
245,2015-Aug-24	38.06
246,2015-Aug-21	40.29
247,2015-Aug-20	40.94
248,2015-Aug-19	40.55
249,2015-Aug-18	42.37
250,2015-Aug-17	41.88
251,2015-Aug-14	42.18
252,2015-Aug-13	42.2
253,2015-Aug-12	43.31
254,2015-Aug-11	43.25
255,2015-Aug-10	44.83
256,2015-Aug-07	43.75
257,2015-Aug-06	44.84
258,2015-Aug-05	45.11
259,2015-Aug-04	45.97
260,2015-Aug-03	45.3
261,2015-Jul-31	46.77
262,2015-Jul-30	48.44
263,2015-Jul-29	48.89
264,2015-Jul-28	47.77
265,2015-Jul-27	46.98
266,2015-Jul-24	47.96
267,2015-Jul-23	48.85
268,2015-Jul-22	49.2
269,2015-Jul-21	50.59
270,2015-Jul-20	49.94
271,2015-Jul-17	50.78
272,2015-Jul-16	50.92
273,2015-Jul-15	51.61
274,2015-Jul-14	53.37
275,2015-Jul-13	52.01
276,2015-Jul-10	52.84
277,2015-Jul-09	52.59
278,2015-Jul-08	51.8
279,2015-Jul-07	52.95
280,2015-Jul-06	52.68
281,2015-Jul-02	56.93
282,2015-Jul-01	56.96
283,2015-Jun-30	59.4
284,2015-Jun-29	58.33
285,2015-Jun-26	59.63
286,2015-Jun-25	59.7
287,2015-Jun-24	60.27
288,2015-Jun-23	61.01
289,2015-Jun-22	59.2
290,2015-Jun-19	59.61
291,2015-Jun-18	60.45
292,2015-Jun-17	59.92
293,2015-Jun-16	59.97
294,2015-Jun-15	59.52
295,2015-Jun-12	59.96
296,2015-Jun-11	60.77
297,2015-Jun-10	61.43
298,2015-Jun-09	60.14
299,2015-Jun-08	58.14
300,2015-Jun-05	59.13
301,2015-Jun-04	58
302,2015-Jun-03	59.64
303,2015-Jun-02	61.26
304,2015-Jun-01	60.2
305,2015-05-29	60.3
306,2015-05-28	57.68
307,2015-05-27	57.51
308,2015-05-26	58.03
309,2015-05-22	59.72
310,2015-05-21	60.72
311,2015-05-20	58.98
312,2015-05-19	57.45
313,2015-05-18	59.43
314,2015-05-15	59.69
315,2015-05-14	59.88
316,2015-05-13	60.5
317,2015-05-12	60.75
318,2015-05-11	59.25
319,2015-05-08	59.39
320,2015-05-07	58.94
321,2015-05-06	60.93
322,2015-05-05	60.4
323,2015-05-04	58.93
324,2015-05-01	59.05
325,2015-04-30	59.6
326,2015-04-29	58.6
327,2015-04-28	57.06
328,2015-04-27	56.99
