,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
5678,Southwest Airlines Co.,"('LAX', 'SJC')","('Los Angeles, CA', 'San Jose, CA')",308.0,1.9323621227887615,67.71104535206376,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5679,Southwest Airlines Co.,"('LAX', 'SLC')","('Los Angeles, CA', 'Salt Lake City, UT')",590.0,3.326848249027237,132.93181541828787,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5680,Southwest Airlines Co.,"('LAX', 'SMF')","('Los Angeles, CA', 'Sacramento, CA')",373.0,3.6675358539765317,208.33188204016201,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5681,Southwest Airlines Co.,"('LAX', 'STL')","('Los Angeles, CA', 'St. Louis, MO')",1592.0,3.6988416988416986,127.40507617251804,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5682,Southwest Airlines Co.,"('LAX', 'TUS')","('Los Angeles, CA', 'Tucson, AZ')",451.0,2.399253731343284,70.64524288669021,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5683,Southwest Airlines Co.,"('LBB', 'AUS')","('Lubbock, TX', 'Austin, TX')",341.0,0.31868131868131866,4.7084249084249095,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5684,Southwest Airlines Co.,"('LBB', 'DAL')","('Lubbock, TX', 'Dallas, TX')",293.0,3.0310262529832936,357.5947288485916,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5685,Southwest Airlines Co.,"('LBB', 'LAS')","('Lubbock, TX', 'Las Vegas, NV')",775.0,2.6043956043956045,163.93064713064712,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5686,Southwest Airlines Co.,"('LGA', 'ATL')","('New York, NY', 'Atlanta, GA')",762.0,2.9954853273137703,397.8235089833818,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5687,Southwest Airlines Co.,"('LGA', 'BNA')","('New York, NY', 'Nashville, TN')",764.0,2.9465020576131686,402.43101044111154,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5688,Southwest Airlines Co.,"('LGA', 'DAL')","('New York, NY', 'Dallas, TX')",1381.0,4.192419825072887,413.5242698583195,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5689,Southwest Airlines Co.,"('LGA', 'DEN')","('New York, NY', 'Denver, CO')",1620.0,4.054945054945056,331.433428450003,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5690,Southwest Airlines Co.,"('LGA', 'HOU')","('New York, NY', 'Houston, TX')",1428.0,4.9549180327868845,469.84569587802736,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5691,Southwest Airlines Co.,"('LGA', 'IND')","('New York, NY', 'Indianapolis, IN')",660.0,4.266272189349112,767.4584389969007,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5692,Southwest Airlines Co.,"('LGA', 'MCI')","('New York, NY', 'Kansas City, MO')",1107.0,6.274725274725275,585.6014652014654,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5693,Southwest Airlines Co.,"('LGA', 'MDW')","('New York, NY', 'Chicago, IL')",725.0,2.4983870967741937,259.2681718693002,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5694,Southwest Airlines Co.,"('LGA', 'MKE')","('New York, NY', 'Milwaukee, WI')",738.0,0.8630705394190872,37.40200553250346,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
