,UNIQUE_CARRIER,arr_delay_var,carrier_delay%,cancellation%,airline_name,airport_routes,city_coutes,distance,average_delay_minutes,flight_counts,delay_var_minutes
0,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ABQ', 'DFW')","('Albuquerque, NM', 'Dallas/Fort Worth, TX')",569.0,6.843891402714932,442.0,2874.2680918521255
1,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ALB', 'CLT')","('Albany, NY', 'Charlotte, NC')",646.0,0.9461538461538461,260.0,26.290525690525683
2,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ANC', 'DFW')","('Anchorage, AK', 'Dallas/Fort Worth, TX')",3043.0,5.310344827586207,29.0,157.07881773399012
3,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ANC', 'LAX')","('Anchorage, AK', 'Los Angeles, CA')",2345.0,26.517241379310345,29.0,12432.758620689652
4,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ANC', 'PHX')","('Anchorage, AK', 'Phoenix, AZ')",2552.0,1.6,90.0,60.13033707865169
5,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'CLT')","('Atlanta, GA', 'Charlotte, NC')",226.0,2.703804347826087,736.0,456.6658902691513
6,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'DFW')","('Atlanta, GA', 'Dallas/Fort Worth, TX')",731.0,6.035612535612535,702.0,901.3753347883156
7,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,174.0,395.83512723407097
8,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,174.0,31.672229822161416
9,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,86.0,395.83512723407097
10,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,86.0,31.672229822161416
11,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947.0,1.302325581395349,174.0,395.83512723407097
12,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947.0,1.302325581395349,174.0,31.672229822161416
13,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947.0,1.302325581395349,86.0,395.83512723407097
14,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947.0,1.302325581395349,86.0,31.672229822161416
15,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'LGA')","('Atlanta, GA', 'New York, NY')",762.0,3.7241379310344827,29.0,142.4926108374384
16,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'MIA')","('Atlanta, GA', 'Miami, FL')",594.0,4.399328859060403,298.0,413.6413463494001
17,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'ORD')","('Atlanta, GA', 'Chicago, IL')",606.0,10.180616740088105,227.0,5349.387587228571
18,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'PHL')","('Atlanta, GA', 'Philadelphia, PA')",666.0,0.9895833333333334,480.0,46.82870128740437
19,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('ATL', 'PHX')","('Atlanta, GA', 'Phoenix, AZ')",1587.0,3.821256038647343,207.0,352.07954598752406
20,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'CLT')","('Austin, TX', 'Charlotte, NC')",1032.0,5.551546391752577,194.0,2024.4247903423955
21,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'DFW')","('Austin, TX', 'Dallas/Fort Worth, TX')",190.0,6.47156605424322,1143.0,1621.683735461265
22,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'JFK')","('Austin, TX', 'New York, NY')",1521.0,6.747252747252747,91.0,591.3909645909645
23,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'LAX')","('Austin, TX', 'Los Angeles, CA')",1242.0,4.723032069970846,343.0,1140.6803744054007
24,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'MIA')","('Austin, TX', 'Miami, FL')",1103.0,2.108433734939759,83.0,124.48809873640901
25,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'ORD')","('Austin, TX', 'Chicago, IL')",977.0,3.953125,320.0,898.8410560344831
26,AA,2226.048308586757,84.1215515895595,0.8508265969080344,American Airlines Inc.,"('AUS', 'PHL')","('Austin, TX', 'Philadelphia, PA')",1430.0,5.8375,160.0,1061.8979559748414
