,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
2335,Frontier Airlines Inc.,"('DEN', 'RDU')","('Denver, CO', 'Raleigh/Durham, NC')",1436,6.9,242.3,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2336,Frontier Airlines Inc.,"('DEN', 'RSW')","('Denver, CO', 'Fort Myers, FL')",1607,0.0,0.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2337,Frontier Airlines Inc.,"('DEN', 'SAN')","('Denver, CO', 'San Diego, CA')",853,2.5,120.3,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2338,Frontier Airlines Inc.,"('DEN', 'SAT')","('Denver, CO', 'San Antonio, TX')",794,11.3,528.1,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2339,Frontier Airlines Inc.,"('DEN', 'SEA')","('Denver, CO', 'Seattle, WA')",1024,2.3,97.6,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2340,Frontier Airlines Inc.,"('DEN', 'SFO')","('Denver, CO', 'San Francisco, CA')",967,2.8,174.8,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2341,Frontier Airlines Inc.,"('DEN', 'SLC')","('Denver, CO', 'Salt Lake City, UT')",391,3.2,165.4,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2342,Frontier Airlines Inc.,"('DEN', 'SNA')","('Denver, CO', 'Santa Ana, CA')",846,2.9,104.6,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2343,Frontier Airlines Inc.,"('DEN', 'STL')","('Denver, CO', 'St. Louis, MO')",770,2.5,71.7,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2344,Frontier Airlines Inc.,"('DEN', 'TPA')","('Denver, CO', 'Tampa, FL')",1506,4.5,162.7,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2345,Frontier Airlines Inc.,"('DEN', 'TYS')","('Denver, CO', 'Knoxville, TN')",1162,1.1,14.2,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2346,Frontier Airlines Inc.,"('DFW', 'CVG')","('Dallas/Fort Worth, TX', 'Cincinnati, OH')",812,2.5,220.7,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2347,Frontier Airlines Inc.,"('DFW', 'DEN')","('Dallas/Fort Worth, TX', 'Denver, CO')",641,1.7,124.8,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2348,Frontier Airlines Inc.,"('DFW', 'MCO')","('Dallas/Fort Worth, TX', 'Orlando, FL')",985,9.7,660.6,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2349,Frontier Airlines Inc.,"('DFW', 'MKE')","('Dallas/Fort Worth, TX', 'Milwaukee, WI')",853,1.8,49.2,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
