,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
0,American Airlines Inc.,"('ABQ', 'DFW')","('Albuquerque, NM', 'Dallas/Fort Worth, TX')",569,6.8,2874.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
1,American Airlines Inc.,"('ALB', 'CLT')","('Albany, NY', 'Charlotte, NC')",646,0.9,26.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
2,American Airlines Inc.,"('ANC', 'DFW')","('Anchorage, AK', 'Dallas/Fort Worth, TX')",3043,5.3,157.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
3,American Airlines Inc.,"('ANC', 'LAX')","('Anchorage, AK', 'Los Angeles, CA')",2345,26.5,12432.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
4,American Airlines Inc.,"('ANC', 'PHX')","('Anchorage, AK', 'Phoenix, AZ')",2552,1.6,60.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
5,American Airlines Inc.,"('ATL', 'CLT')","('Atlanta, GA', 'Charlotte, NC')",226,2.7,456.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
6,American Airlines Inc.,"('ATL', 'DFW')","('Atlanta, GA', 'Dallas/Fort Worth, TX')",731,6.0,901.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
7,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
8,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
9,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
10,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
11,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
12,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
13,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
14,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
15,American Airlines Inc.,"('ATL', 'LGA')","('Atlanta, GA', 'New York, NY')",762,3.7,142.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
16,American Airlines Inc.,"('ATL', 'MIA')","('Atlanta, GA', 'Miami, FL')",594,4.4,413.6,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
17,American Airlines Inc.,"('ATL', 'ORD')","('Atlanta, GA', 'Chicago, IL')",606,10.2,5349.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
18,American Airlines Inc.,"('ATL', 'PHL')","('Atlanta, GA', 'Philadelphia, PA')",666,1.0,46.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
19,American Airlines Inc.,"('ATL', 'PHX')","('Atlanta, GA', 'Phoenix, AZ')",1587,3.8,352.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
20,American Airlines Inc.,"('AUS', 'CLT')","('Austin, TX', 'Charlotte, NC')",1032,5.6,2024.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
21,American Airlines Inc.,"('AUS', 'DFW')","('Austin, TX', 'Dallas/Fort Worth, TX')",190,6.5,1621.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
22,American Airlines Inc.,"('AUS', 'JFK')","('Austin, TX', 'New York, NY')",1521,6.7,591.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
23,American Airlines Inc.,"('AUS', 'LAX')","('Austin, TX', 'Los Angeles, CA')",1242,4.7,1140.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
24,American Airlines Inc.,"('AUS', 'MIA')","('Austin, TX', 'Miami, FL')",1103,2.1,124.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
25,American Airlines Inc.,"('AUS', 'ORD')","('Austin, TX', 'Chicago, IL')",977,4.0,898.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
26,American Airlines Inc.,"('AUS', 'PHL')","('Austin, TX', 'Philadelphia, PA')",1430,5.8,1061.9,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
27,American Airlines Inc.,"('AUS', 'PHX')","('Austin, TX', 'Phoenix, AZ')",872,5.9,1549.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
28,American Airlines Inc.,"('BDL', 'CLT')","('Hartford, CT', 'Charlotte, NC')",644,1.2,70.2,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
29,American Airlines Inc.,"('BDL', 'DCA')","('Hartford, CT', 'Washington, DC')",313,0.0,0.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
30,American Airlines Inc.,"('BDL', 'DFW')","('Hartford, CT', 'Dallas/Fort Worth, TX')",1471,6.7,813.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
31,American Airlines Inc.,"('BDL', 'LAX')","('Hartford, CT', 'Los Angeles, CA')",2527,3.5,213.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
32,American Airlines Inc.,"('BDL', 'MIA')","('Hartford, CT', 'Miami, FL')",1194,2.9,252.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
33,American Airlines Inc.,"('BDL', 'ORD')","('Hartford, CT', 'Chicago, IL')",783,1.3,44.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
34,American Airlines Inc.,"('BDL', 'PHL')","('Hartford, CT', 'Philadelphia, PA')",196,1.8,114.2,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
35,American Airlines Inc.,"('BNA', 'CLT')","('Nashville, TN', 'Charlotte, NC')",328,3.9,543.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
36,American Airlines Inc.,"('BNA', 'DFW')","('Nashville, TN', 'Dallas/Fort Worth, TX')",631,6.1,1433.2,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
37,American Airlines Inc.,"('BNA', 'LAX')","('Nashville, TN', 'Los Angeles, CA')",1797,5.2,395.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
38,American Airlines Inc.,"('BNA', 'MIA')","('Nashville, TN', 'Miami, FL')",806,12.4,2213.9,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
39,American Airlines Inc.,"('BOI', 'DFW')","('Boise, ID', 'Dallas/Fort Worth, TX')",1272,13.5,1485.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
40,American Airlines Inc.,"('BOI', 'PHX')","('Boise, ID', 'Phoenix, AZ')",735,2.9,679.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
41,American Airlines Inc.,"('BOS', 'CLT')","('Boston, MA', 'Charlotte, NC')",728,2.3,356.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
42,American Airlines Inc.,"('BOS', 'DCA')","('Boston, MA', 'Washington, DC')",399,1.4,95.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
43,American Airlines Inc.,"('BOS', 'DFW')","('Boston, MA', 'Dallas/Fort Worth, TX')",1562,1.7,104.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
44,American Airlines Inc.,"('BOS', 'JFK')","('Boston, MA', 'New York, NY')",187,3.0,565.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
45,American Airlines Inc.,"('BOS', 'LAX')","('Boston, MA', 'Los Angeles, CA')",2611,2.6,723.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
46,American Airlines Inc.,"('BOS', 'LGA')","('Boston, MA', 'New York, NY')",184,2.8,206.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
47,American Airlines Inc.,"('BOS', 'MIA')","('Boston, MA', 'Miami, FL')",1258,3.1,246.6,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
48,American Airlines Inc.,"('BOS', 'ORD')","('Boston, MA', 'Chicago, IL')",867,1.9,134.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
49,American Airlines Inc.,"('BOS', 'PHL')","('Boston, MA', 'Philadelphia, PA')",280,1.8,192.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
50,American Airlines Inc.,"('BOS', 'PHX')","('Boston, MA', 'Phoenix, AZ')",2300,1.9,153.2,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
51,American Airlines Inc.,"('BUF', 'CLT')","('Buffalo, NY', 'Charlotte, NC')",546,2.8,443.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
52,American Airlines Inc.,"('BWI', 'CLT')","('Baltimore, MD', 'Charlotte, NC')",361,4.1,968.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
53,American Airlines Inc.,"('BWI', 'DFW')","('Baltimore, MD', 'Dallas/Fort Worth, TX')",1217,6.1,1402.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
54,American Airlines Inc.,"('BWI', 'MIA')","('Baltimore, MD', 'Miami, FL')",946,4.5,601.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
55,American Airlines Inc.,"('BWI', 'ORD')","('Baltimore, MD', 'Chicago, IL')",622,20.6,11449.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
56,American Airlines Inc.,"('BWI', 'PHX')","('Baltimore, MD', 'Phoenix, AZ')",1999,3.8,380.5,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
57,American Airlines Inc.,"('CHS', 'CLT')","('Charleston, SC', 'Charlotte, NC')",168,0.7,70.9,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
58,American Airlines Inc.,"('CHS', 'PHL')","('Charleston, SC', 'Philadelphia, PA')",550,0.8,15.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
59,American Airlines Inc.,"('CLE', 'CLT')","('Cleveland, OH', 'Charlotte, NC')",430,0.2,4.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
60,American Airlines Inc.,"('CLE', 'DFW')","('Cleveland, OH', 'Dallas/Fort Worth, TX')",1021,2.7,306.9,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
61,American Airlines Inc.,"('CLE', 'PHX')","('Cleveland, OH', 'Phoenix, AZ')",1737,0.0,0.0,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
