,genre,title,script_link
77,Action,"Crow Salvation, The","http://www.imsdb.com/scripts/Crow-Salvation,-The.html"
78,Action,"Crow, The","http://www.imsdb.com/scripts/Crow,-The.html"
79,Action,"Crow: City of Angels, The","http://www.imsdb.com/scripts/Crow-City-of-Angels,-The.html"
80,Action,Crying Game,http://www.imsdb.com/scripts/Crying-Game.html
81,Action,"Dark Knight Rises, The","http://www.imsdb.com/scripts/Dark-Knight-Rises,-The.html"
82,Action,"Dark Knight, The","http://www.imsdb.com/scripts/Dark-Knight,-The.html"
83,Action,Darkman,http://www.imsdb.com/scripts/Darkman.html
84,Action,Dawn of the Dead,http://www.imsdb.com/scripts/Dawn-of-the-Dead.html
85,Action,"Debt, The","http://www.imsdb.com/scripts/Debt,-The.html"
86,Action,Deep Cover,http://www.imsdb.com/scripts/Deep-Cover.html
87,Action,Deep Rising,http://www.imsdb.com/scripts/Deep-Rising.html
88,Action,Defiance,http://www.imsdb.com/scripts/Defiance.html
89,Action,Die Hard,http://www.imsdb.com/scripts/Die-Hard.html
90,Action,Die Hard 2,http://www.imsdb.com/scripts/Die-Hard-2.html
91,Action,Dragonslayer,http://www.imsdb.com/scripts/Dragonslayer.html
92,Action,Drive,http://www.imsdb.com/scripts/Drive.html
93,Action,Drive Angry,http://www.imsdb.com/scripts/Drive-Angry.html
94,Action,Dune,http://www.imsdb.com/scripts/Dune.html
95,Action,Eagle Eye,http://www.imsdb.com/scripts/Eagle-Eye.html
96,Action,Eight Legged Freaks,http://www.imsdb.com/scripts/Eight-Legged-Freaks.html
97,Action,El Mariachi,http://www.imsdb.com/scripts/El-Mariachi.html
98,Action,Enemy of the State,http://www.imsdb.com/scripts/Enemy-of-the-State.html
99,Action,Entrapment,http://www.imsdb.com/scripts/Entrapment.html
100,Action,Equilibrium,http://www.imsdb.com/scripts/Equilibrium.html
101,Action,Escape From L.A.,http://www.imsdb.com/scripts/Escape-From-L.A..html
102,Action,Escape From New York,http://www.imsdb.com/scripts/Escape-From-New-York.html
103,Action,Evil Dead II: Dead by Dawn,http://www.imsdb.com/scripts/Evil-Dead-II-Dead-by-Dawn.html
104,Action,Executive Decision,http://www.imsdb.com/scripts/Executive-Decision.html
105,Action,Face Off,http://www.imsdb.com/scripts/Face-Off.html
106,Action,Fair Game,http://www.imsdb.com/scripts/Fair-Game.html
107,Action,Fantastic Four,http://www.imsdb.com/scripts/Fantastic-Four.html
108,Action,Feast,http://www.imsdb.com/scripts/Feast.html
109,Action,"Fifth Element, The","http://www.imsdb.com/scripts/Fifth-Element,-The.html"
110,Action,Fight Club,http://www.imsdb.com/scripts/Fight-Club.html
