,ratings,title
946,6.4,Supergirl
947,3.8,"Surfer King, The"
948,6.3,Surrogates
949,5.9,Suspect Zero
950,7.4,Sweeney Todd The Demon Barber of Fleet Street
951,7.7,"Sweet Hereafter, The"
952,8.2,Sweet Smell of Success
953,7.4,Swingers
954,6.5,Swordfish
955,7.5,"Synecdoche, New York"
956,7.0,Syriana
957,7.4,Take Shelter
958,6.2,Taking Lives
959,7.7,"Taking of Pelham One Two Three, The"
960,7.2,Taking Sides
961,7.3,"Talented Mr. Ripley, The"
962,7.1,Tall in the Saddle
963,6.2,Tamara Drewe
964,8.3,Taxi Driver
965,7.0,Ted
966,8.5,Terminator 2 Judgement Day
967,6.6,Terminator Salvation
968,8.1,Terminator
969,4.6,The Rage Carrie 2
970,7.4,Thelma & Louise
971,7.1,There's Something About Mary
972,4.8,They
973,7.9,"Things My Father Never Taught Me, The"
974,7.3,Thirteen Days
975,7.3,This Boy's Life
976,6.2,This is 40
977,7.0,Thor
978,7.1,Three Kings (Spoils of War)
979,7.1,Three Kings
980,5.9,Three Men and a Baby
981,5.8,"Three Musketeers, The"
982,4.2,Thunderbirds
983,6.8,Thunderheart
984,3.5,Ticker
985,5.3,Timber Falls
986,5.9,"Time Machine, The"
987,6.3,Tin Cup
988,6.5,Tin Men
989,7.1,Tinker Tailor Soldier Spy
990,7.7,Titanic
991,6.3,TMNT
992,7.1,To Sleep with Anger
993,7.8,Tombstone
994,6.5,Tomorrow Never Dies
995,6.9,Top Gun
996,6.3,Total Recall
997,6.0,"Tourist, The"
998,8.3,Toy Story
999,7.6,Traffic
1000,7.7,Training Day
1001,8.2,Trainspotting
1002,7.3,Transformers The Movie
1003,7.1,Tremors
1004,6.9,Tristan and Isolde
1005,6.8,TRON Legacy
1006,6.8,TRON
1007,7.0,Tropic Thunder
1008,7.7,True Grit
1009,7.2,True Lies
1010,8.0,True Romance
1011,8.1,"Truman Show, The"
1012,4.6,Twilight New Moon
1013,5.2,Twilight
1014,8.9,Twin Peaks
1015,6.0,Twins
1016,6.2,Two For The Money
1017,6.8,U Turn
1018,6.5,"Ugly Truth, The"
1019,7.6,Un Singe en Hiver
1020,7.2,Unbreakable
1021,7.1,Under Fire
1022,6.9,Unknown
1023,7.4,Up in the Air
1024,8.3,Up
1025,8.6,"Usual Suspects, The"
1026,8.2,V for Vendetta
1027,7.1,Valkyrie
1028,6.9,Vanilla Sky
1029,7.8,"Verdict, The"
1030,8.4,Vertigo
1031,6.3,Very Bad Things
1032,6.5,"Village, The"
1033,5.5,Virtuosity
1034,7.7,"Visitor, The"
1035,7.1,Wag the Dog
1036,7.4,"Walk to Remember, A"
1037,6.2,Walking Tall
1038,5.8,Wall E
1039,7.4,Wall Street
1040,6.7,Wanted
1041,7.2,War Horse
1042,6.5,War of the Worlds
1043,7.7,Warm Springs
1044,8.2,Warrior
1045,7.6,Watchmen
1046,6.9,Water for Elephants
1047,7.4,"Way Back, The"
1048,6.9,We Own the Night
1049,7.0,What About Bob?
1050,6.6,What Lies Beneath
1051,5.0,When a Stranger Calls
1052,7.6,When Harry Met Sally
1053,4.8,While She Was Out
1054,7.2,"Whistleblower, The"
1055,7.6,White Christmas
1056,7.8,"White Ribbon, The"
1057,6.6,White Squall
1058,5.5,Whiteout
1059,3.0,Who's Your Daddy
1060,7.2,Wild At Heart
1061,8.0,"Wild Bunch, The"
1062,5.9,Wild Hogs
1063,4.5,Wild Things Diamonds in the Rough
1064,6.5,Wild Things
1065,4.8,Wild Wild West
1066,7.3,Willow
1067,7.2,Win Win
1068,5.9,Wind Chill
1069,7.8,Withnail and I
1070,7.4,Witness
1071,8.1,"Wizard of Oz, The"
1072,8.2,"Wolf of Wall Street, The"
1073,7.4,Wonder Boys
1074,7.2,"Woodsman, The"
1075,6.4,"World is not Enough, The"
1076,7.9,"Wrestler, The"
1077,7.1,"X Files Fight the Future, The"
1078,6.7,X Men Origins Wolverine
1079,5.8,xXx
1080,4.9,Year One
1081,6.8,Yes Man
1082,6.5,You've Got Mail
1083,7.7,You Can Count On Me
1084,6.5,Youth in Revolt
1085,7.4,Zero Dark Thirty
1086,6.3,Zerophilia
